Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG/SF,Nicolas Batum (11703377),Nicolas Batum,11703377,SG/SF/F/G/UTIL,4900,MIL@CHA 11/26/2018 07:00PM ET,CHA,24.62
SG/SF,Justin Holiday (11703382),Justin Holiday,11703382,SG/SF/F/G/UTIL,4800,SA@CHI 11/26/2018 08:00PM ET,CHI,27.2
SG/SF,Eric Gordon (11703389),Eric Gordon,11703389,SG/SF/F/G/UTIL,4800,HOU@WAS 11/26/2018 07:00PM ET,HOU,23.48
PF/C,Derrick Favors (11703394),Derrick Favors,11703394,PF/C/F/UTIL,4800,IND@UTA 11/26/2018 09:00PM ET,UTA,25
C,Brook Lopez (11703387),Brook Lopez,11703387,C/UTIL,4700,MIL@CHA 11/26/2018 07:00PM ET,MIL,22.46
SG/SF,Bojan Bogdanovic (11703398),Bojan Bogdanovic,11703398,SG/SF/F/G/UTIL,4700,IND@UTA 11/26/2018 09:00PM ET,IND,24.10
PG,Darren Collison (11703403),Darren Collison,11703403,PG/G/UTIL,4600,IND@UTA 11/26/2018 09:00PM ET,IND,20.47
PF,Taj Gibson (11703414),Taj Gibson,11703414,PF/F/UTIL,4500,MIN@CLE 11/26/2018 07:00PM ET,MIN,24.78
PG,Cory Joseph (11703406),Cory Joseph,11703406,PG/G/UTIL,4500,IND@UTA 11/26/2018 09:00PM ET,IND,20
SG/SF,Jaylen Brown (11703409),Jaylen Brown,11703409,SG/SF/F/G/UTIL,4500,BOS@NO 11/26/2018 08:00PM ET,BOS,20.37
SF/PF,Markieff Morris (11703417),Markieff Morris,11703417,SF/PF/F/UTIL,4400,HOU@WAS 11/26/2018 07:00PM ET,WAS,21.83
SG/SF,Kelly Oubre Jr. (11703426),Kelly Oubre Jr.,11703426,SG/SF/F/G/UTIL,4300,HOU@WAS 11/26/2018 07:00PM ET,WAS,22.07
SG/SF,Rodney Hood (11703421),Rodney Hood,11703421,SG/SF/F/G/UTIL,4200,MIN@CLE 11/26/2018 07:00PM ET,CLE,21.33
